PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2000,39.5,-88.125,1.06,2.29,1.55,2.44,3.41,5.84,4.24,4.06,3.76,2.9,3.16,1.48,3.01
PRECTOTCORR,2000,39.5,-88.75,1,2,1.57,2.25,3.39,5.9,4.09,3.76,3.51,2.81,3.16,1.38,2.9
PRECTOTCORR,2000,39.5,-89.375,0.97,1.79,1.7,2.04,3.38,5.71,3.7,3.42,3.11,2.6,2.84,1.37,2.72
PRECTOTCORR,2000,39.5,-90,0.75,1.7,1.75,1.85,3.33,6.16,3.84,2.94,2.66,2.44,2.38,1.21,2.58
PRECTOTCORR,2000,40,-88.125,1.1,2.03,1.49,2.36,3.35,5.23,3.1,3.26,3.32,2.29,2.99,1.51,2.66
PRECTOTCORR,2000,40,-88.75,0.77,1.5,1.6,2.23,2.78,5.11,3.1,3.14,2.74,2.44,2.8,1.39,2.46
PRECTOTCORR,2000,40,-89.375,0.75,1.5,1.61,2.16,2.82,5.16,3.15,3.01,2.71,2.4,2.72,1.36,2.44
PRECTOTCORR,2000,40,-90,0.59,1.6,1.59,1.87,2.95,5.49,3.49,2.51,2.55,2.23,2.24,1.17,2.35
PRECTOTCORR,2000,40.5,-88.125,1.02,1.6,1.47,2.53,3.6,4.49,3.05,2.15,2.96,1.89,2.87,1.48,2.42
PRECTOTCORR,2000,40.5,-88.75,0.91,1.51,1.46,2.48,3.38,4.57,2.79,2.4,2.61,1.88,2.72,1.35,2.33
PRECTOTCORR,2000,40.5,-89.375,0.89,1.53,1.54,2.43,3.42,4.57,2.78,2.24,2.7,1.85,2.79,1.33,2.34
PRECTOTCORR,2000,40.5,-90,0.76,1.74,1.35,1.98,3.28,4.55,2.91,1.95,2.69,1.73,2.1,1.12,2.18
PRECTOTCORR,2000,41,-88.125,0.9,1.23,1.28,2.83,3.77,4.21,3.77,1.67,2.85,1.76,2.76,1.44,2.37
PRECTOTCORR,2000,41,-88.75,0.96,1.38,1.25,2.97,3.91,4.32,3.16,1.9,2.94,1.61,2.54,1.34,2.35
PRECTOTCORR,2000,41,-89.375,0.88,1.26,1.23,2.76,3.79,4.2,3.36,1.78,2.87,1.65,2.58,1.28,2.3
PRECTOTCORR,2000,41,-90,0.98,1.67,1.14,2.68,3.6,4.23,2.77,1.84,3.22,1.49,2.06,1.23,2.24
PRECTOTCORR,2001,39.5,-88.125,1.05,2.47,0.88,2.19,2.96,3.34,3.79,2.95,1.77,6.08,2.03,2.32,2.66
PRECTOTCORR,2001,39.5,-88.75,1.24,2.6,0.91,2.22,3.04,3.39,3.07,3.05,1.88,5.52,2.02,2.19,2.6
PRECTOTCORR,2001,39.5,-89.375,1.55,2.72,0.97,2.22,3.23,3.27,2.61,3.3,2.2,5.09,2.06,2.1,2.61
PRECTOTCORR,2001,39.5,-90,1.82,2.82,1.1,2.31,3.46,3.6,2.35,3.55,2.48,4.52,2.11,1.94,2.67
PRECTOTCORR,2001,40,-88.125,1.12,2.83,0.87,2.19,2.87,2.96,3.73,3.45,1.87,5.93,1.87,2.02,2.65
PRECTOTCORR,2001,40,-88.75,1.89,2.95,1.08,2.3,3.25,2.97,2.28,3.53,2.21,4.97,1.98,1.72,2.59
PRECTOTCORR,2001,40,-89.375,1.92,2.93,1.08,2.31,3.31,3.08,2.22,3.52,2.25,4.86,1.96,1.71,2.6
PRECTOTCORR,2001,40,-90,2.16,2.86,1.14,2.45,3.77,3.6,1.86,3.56,2.48,4.24,1.87,1.53,2.63
PRECTOTCORR,2001,40.5,-88.125,1.22,3.06,0.82,2.27,3.06,2.83,3.47,3.68,2.29,5.71,1.8,1.66,2.66
PRECTOTCORR,2001,40.5,-88.75,2,2.93,1.02,2.46,3.54,2.79,2.83,3.12,2.45,4.83,1.92,1.43,2.61
PRECTOTCORR,2001,40.5,-89.375,1.74,3.04,0.95,2.4,3.48,2.84,2.82,3.28,2.43,5.01,1.8,1.51,2.61
PRECTOTCORR,2001,40.5,-90,2.25,2.9,1.08,2.76,4.41,3.06,1.86,3.07,2.71,4.11,1.67,1.23,2.59
PRECTOTCORR,2001,41,-88.125,1.25,2.96,0.85,2.31,3.2,2.79,3.12,3.74,2.77,5.36,1.81,1.28,2.62
PRECTOTCORR,2001,41,-88.75,1.85,2.89,1,2.51,3.76,2.76,3.31,2.91,3.1,4.61,1.8,1.15,2.64
PRECTOTCORR,2001,41,-89.375,1.82,2.8,0.96,2.46,3.71,2.76,3.11,2.94,3.11,4.64,1.76,1.11,2.6
