PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,39.5,-88.125,-2.34,3.06,7.9,11.3,19.03,21.86,23.15,23.53,18.82,13.64,3.15,-7.32,11.33
T2M,2000,39.5,-88.75,-2.23,3.35,8.07,11.42,18.99,21.7,23.01,23.59,19.02,13.81,3.12,-7.42,11.39
T2M,2000,39.5,-89.375,-2.07,3.53,8.19,11.63,19.26,21.94,23.43,24.31,19.47,14.09,3.02,-7.47,11.63
T2M,2000,39.5,-90,-1.88,3.69,8.22,11.85,19.64,22.15,23.85,24.96,20,14.46,2.93,-7.4,11.89
T2M,2000,40,-88.125,-3.15,2.41,7.65,10.78,18.6,21.39,22.95,23.55,18.83,13.47,2.77,-8.19,10.94
T2M,2000,40,-88.75,-2.95,2.73,7.83,10.93,18.75,21.52,23.06,23.85,19.22,13.64,2.64,-8.22,11.1
T2M,2000,40,-89.375,-2.81,3,7.96,11.22,19.06,21.8,23.55,24.5,19.61,13.9,2.64,-8.12,11.38
T2M,2000,40,-90,-2.61,3.25,8.04,11.55,19.46,22.03,24.01,25.19,20.12,14.24,2.58,-7.96,11.68
T2M,2000,40.5,-88.125,-3.79,1.71,7.28,10.33,18.19,21,22.65,23.54,18.86,13.41,2.43,-8.79,10.59
T2M,2000,40.5,-88.75,-3.9,1.74,7.28,10.41,18.23,21.02,22.85,23.75,19.04,13.45,2.12,-8.96,10.61
T2M,2000,40.5,-89.375,-3.84,1.98,7.4,10.72,18.47,21.31,23.5,24.52,19.42,13.62,2.17,-8.94,10.88
T2M,2000,40.5,-90,-3.64,2.35,7.57,11.1,18.92,21.67,24.1,25.26,19.96,13.9,2.18,-8.69,11.24
T2M,2000,41,-88.125,-4.11,1.36,7.08,10.08,18.04,20.82,22.44,23.43,18.89,13.34,2.29,-9.08,10.4
T2M,2000,41,-88.75,-4.32,1.3,7.06,10.18,18.04,20.74,22.58,23.55,18.97,13.31,2.05,-9.35,10.36
T2M,2000,41,-89.375,-4.36,1.43,7.07,10.43,18.14,20.97,23.05,24.12,19.19,13.28,1.87,-9.57,10.49
T2M,2000,41,-90,-4.59,1.41,6.84,10.45,18.06,20.86,23.38,24.56,19.26,13.22,1.66,-9.73,10.47
T2M,2001,39.5,-88.125,-3.2,0.49,2.75,14.55,18.37,21.74,25.33,24.99,18.85,12.01,8.73,1.86,12.26
T2M,2001,39.5,-88.75,-3.2,0.28,2.71,14.61,18.09,21.32,25.17,25.01,18.91,12,8.95,1.73,12.19
T2M,2001,39.5,-89.375,-3.37,0.11,2.78,14.84,18.22,21.41,25.64,25.26,18.96,12.03,9.09,1.65,12.28
T2M,2001,39.5,-90,-3.33,-0.22,2.81,15.08,18.35,21.54,26.17,25.41,19.03,12.08,9.21,1.7,12.38
T2M,2001,40,-88.125,-3.74,-0.21,2.31,14.03,17.76,21.2,24.76,24.44,18.17,11.63,8.57,1.37,11.75
T2M,2001,40,-88.75,-3.94,-0.5,2.14,14.04,17.74,20.93,24.96,24.65,18.22,11.57,8.76,1.2,11.71
T2M,2001,40,-89.375,-3.92,-0.65,2.21,14.35,17.98,21.07,25.5,24.99,18.46,11.73,8.93,1.19,11.88
T2M,2001,40,-90,-3.8,-1.03,2.26,14.61,18.06,21.16,26.05,25.21,18.67,11.83,9.18,1.27,12.02
T2M,2001,40.5,-88.125,-4.32,-0.96,1.69,13.48,17.36,20.75,24.26,23.93,17.58,11.29,8.41,0.88,11.25
T2M,2001,40.5,-88.75,-4.57,-1.42,1.44,13.43,17.35,20.55,24.39,24.07,17.73,11.21,8.49,0.63,11.17
T2M,2001,40.5,-89.375,-4.53,-1.59,1.53,13.72,17.59,20.71,25.08,24.53,18,11.32,8.65,0.59,11.36
T2M,2001,40.5,-90,-4.45,-1.99,1.67,13.99,17.68,20.85,25.7,24.95,18.35,11.44,9.01,0.71,11.56
T2M,2001,41,-88.125,-4.72,-1.63,1.33,13.03,16.97,20.7,24.28,23.81,17.38,11.1,8.36,0.61,11
T2M,2001,41,-88.75,-4.92,-2.1,1.15,13,17.12,20.54,24.17,23.83,17.45,11.03,8.47,0.4,10.91
T2M,2001,41,-89.375,-5.13,-2.51,1.12,13.12,17.27,20.55,24.69,24.12,17.57,10.93,8.55,0.23,10.94
T2M,2001,41,-90,-5.37,-3.2,1.02,13.11,17.1,20.33,24.57,24.14,17.63,10.79,8.62,0.09,10.8
T2M,2002,39.5,-88.125,0.25,1.09,3.4,12.47,15.23,23.03,25.45,24.52,21.56,11.86,4.04,0.2,11.98
